measure,quantile,infections,cancers,group,n_ranked,n_infections,n_cancers,cancers_unattributed_frac,spearman_theta_vs_rships,spearman_theta_vs_rship_rate,Seed
downstream_gen0,0.01,0.05960239837791232,0.08991754247414577,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen1,0.01,0.12315707409036117,0.1402633868006947,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen2,0.01,0.17186326559461526,0.19719343331336903,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen3,0.01,0.21790191826706615,0.2245943433400641,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen0,0.02,0.09238269501983394,0.13341315887908498,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen1,0.02,0.18574592338834614,0.20504126742864162,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen2,0.02,0.25373858967346463,0.28298754832458184,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen3,0.02,0.31601585493473633,0.3239558956213851,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen0,0.05,0.16288096584732295,0.2123570442187409,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen1,0.05,0.31029307368702835,0.3303405734206771,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen2,0.05,0.4087890215565741,0.4339585646841314,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen3,0.05,0.49120173830135483,0.4922852502793057,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
